project,project_type,definition,scoped_name,description,group,tags,url,is_module
master,Library,xfmr_1p3w,master:xfmr_1p3w,1 Phase 3 Winding Transformer,Transformers,,,False
master,Library,xfmr_1p3w_auto,master:xfmr_1p3w_auto,1 Phase Auto Transformer with a Tertiary,Transformers,,,False
master,Library,xfmr_1p4w,master:xfmr_1p4w,1 Phase 4 Winding Transformer,Transformers,,,False
master,Library,xfmr_2w_auto,master:xfmr_2w_auto,Single Phase Auto Transformer,(null),,,False
master,Library,xfmr_3p2w,master:xfmr_3p2w,3 Phase 2 Winding Transformer,Transformers,,,False
master,Library,xfmr_3p2w_auto,master:xfmr_3p2w_auto,3 Phase Star-Star Auto Transfomer,(null),,,False
master,Library,xfmr_3p2w_auto2,master:xfmr_3p2w_auto2,3 Phase Star-Star Auto Transformer,Transformers,,,False
master,Library,xfmr_3p3w,master:xfmr_3p3w,3 Phase 3 Winding Transformer,Transformers,,,False
master,Library,xfmr_3p3w_auto,master:xfmr_3p3w_auto,3 Phase Star-Star Auto Transfomer with a tertiary,(null),,,False
master,Library,xfmr_3p3w_auto2,master:xfmr_3p3w_auto2,3 Phase Star-Star Auto Transformer with a Tertiary,Transformers,,,False
master,Library,xfmr_3p4w,master:xfmr_3p4w,3 Phase 4 Winding Transformer,Transformers,,,False
master,Library,xfmr_3w_auto,master:xfmr_3w_auto,Single Phase 3 Winding Auto Transformer,(null),,,False
master,Library,xfmr_Nw,master:xfmr_Nw,Single Phase N Winding Transformer,Transformers,,,False
master,Library,xnode,master:xnode,External Electrical Node,Imports Exports Labels,,,False
master,Library,xy_table,master:xy_table,X-Y table,"CSMF,Data recorders Readers",,,False
master,Library,xy_transfer_function,master:xy_transfer_function,X-Y transfer function,"CSMF,Data recorders Readers,External C",,,False
master,Library,xyz_tf,master:xyz_tf,XYZ transfer function,"CSMF,Data recorders Readers,External C",,,False
master,Library,zerodetect,master:zerodetect,Interpolated Zero Detector,"CSMF,External C",,,False
master,Library,zminusone,master:zminusone,Feedback Loop Selector,Miscellaneous,,,False
NewCase,Case,DS,NewCase:DS,,,,,True
NewCase,Case,Main,NewCase:Main,,,,,True
